id,timestamp,log_type,schema_version,event_name,session_id,attempt_id,browser_id,route,details
b55e9187-10a9-4c78-8cec-b8100f5e983d,2025-09-13T16:11:10.154496,backend,http_response.v1,http_response,backend,fbd7d5a0-86b5-4b17-9ce7-bafa1998e383,backend,/api/customer/register,{}
1ffc323d-fe08-4454-86a8-614488227da9,2025-09-13T16:11:09.885327,backend,http_request.v1,http_request,backend,bfcab2bf-6d3c-4ed7-9f77-6c580313a80c,backend,/api/customer/register,{}
8d212791-ae32-473e-87d1-427fee3ce841,2025-09-13T16:11:09.568150,backend,http_response.v1,http_response,backend,302df278-b33e-4e4e-8131-054791a0db12,backend,/api/customer/register,{}
b8c8adbb-87dd-4add-b28a-1ce8aed0fb0d,2025-09-13T16:11:09.560147,backend,http_request.v1,http_request,backend,85fc3013-7433-4af4-88d2-814895c52831,backend,/api/customer/register,{}
log_1757772669558_mrdpb7szu,2025-09-13T14:11:09.558Z,frontend,form_submit.v2,form_submit,session_1757771443548_7eqjj0e9b,log_1757772669558_s0abfabij,anonymous,/customer/login,"{""app_version"":""web-1.4.2"",""autofill_used"":false,""caps_lock_on"":false,""client_validation_passed"":true,""component"":""unknown"",""details"":{""field_presence_map"":{""firstName"":true,""lastName"":true,""password"":true,""postalCode"":true,""street"":true,""username"":true},""formAction"":""http://localhost:5173/customer/login"",""formElements"":[{""name"":""username"",""required"":true,""type"":""text""},{""name"":""firstName"",""required"":true,""type"":""text""},{""name"":""lastName"",""required"":true,""type"":""text""},{""name"":""street"",""required"":true,""type"":""text""},{""name"":""postalCode"",""required"":true,""type"":""text""},{""name"":""password"",""required"":true,""type"":""password""},{""name"":"""",""type"":""submit""}],""formId"":"""",""formMethod"":""get"",""schema_version"":""form_submit.v2"",""trigger"":""submit""},""event_time"":""2025-09-13T14:11:09.558Z"",""field_presence_map"":{""firstName"":true,""lastName"":true,""password"":true,""postalCode"":true,""street"":true,""username"":true},""password_length"":0,""perf"":{""submit_latency_ms"":0},""submit_trigger"":""submit"",""system_noise"":false,""url"":""http://localhost:5173/customer/login"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"",""username_length"":0,""viewport"":{""height"":695,""width"":767}}"
log_1757772669556_tlckkngub,2025-09-13T14:11:09.556Z,frontend,click.v1,click,session_1757771443548_7eqjj0e9b,log_1757772669556_jpmdz9dhb,anonymous,/customer/login,"{""app_version"":""web-1.4.2"",""autofill_used"":false,""caps_lock_on"":false,""client_validation_passed"":true,""component"":""unknown"",""details"":{""className"":""w-full flex justify-center py-2 px-4 border border-transparent rounded-md shadow-sm text-sm font-medium text-white bg-orange-500 hover:bg-orange-600 focus:outline-none focus:ring-2 focus:ring-offset-2 focus:ring-orange-500"",""id"":"""",""schema_version"":""click.v1"",""tagName"":""BUTTON"",""text"":""Create Account"",""trigger"":""click"",""x"":387,""y"":645},""event_time"":""2025-09-13T14:11:09.556Z"",""password_length"":0,""perf"":{""submit_latency_ms"":0},""submit_trigger"":""click"",""system_noise"":false,""url"":""http://localhost:5173/customer/login"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"",""username_length"":0,""viewport"":{""height"":695,""width"":767}}"
log_1757772669328_l708fru8h,2025-09-13T14:11:09.328Z,frontend,input_change.v1,input_change,session_1757771443548_7eqjj0e9b,log_1757772669328_udkc0xopz,anonymous,/customer/login,"{""app_version"":""web-1.4.2"",""autofill_used"":false,""caps_lock_on"":false,""client_validation_passed"":true,""component"":""unknown"",""details"":{""finalValueLength"":1,""inputId"":""password"",""inputName"":""password"",""inputType"":""password"",""inputValue"":""[HIDDEN]"",""schema_version"":""input_change.v1"",""trigger"":""blur""},""event_time"":""2025-09-13T14:11:09.328Z"",""finalValueLength"":1,""inputId"":""password"",""inputName"":""password"",""inputType"":""password"",""inputValue"":""[HIDDEN]"",""password_length"":0,""perf"":{""submit_latency_ms"":0},""submit_trigger"":""blur"",""system_noise"":false,""url"":""http://localhost:5173/customer/login"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"",""username_length"":0,""viewport"":{""height"":695,""width"":767}}"
log_1757772668682_umo9ksvm3,2025-09-13T14:11:08.682Z,frontend,input_change.v1,input_change,session_1757771443548_7eqjj0e9b,log_1757772668682_wsvbb8nno,anonymous,/customer/login,"{""app_version"":""web-1.4.2"",""autofill_used"":false,""caps_lock_on"":false,""client_validation_passed"":true,""component"":""unknown"",""details"":{""finalValueLength"":1,""inputId"":""password"",""inputName"":""password"",""inputType"":""password"",""inputValue"":""[HIDDEN]"",""schema_version"":""input_change.v1"",""trigger"":""debounced_input""},""event_time"":""2025-09-13T14:11:08.682Z"",""finalValueLength"":1,""inputId"":""password"",""inputName"":""password"",""inputType"":""password"",""inputValue"":""[HIDDEN]"",""password_length"":0,""perf"":{""submit_latency_ms"":0},""submit_trigger"":""debounced_input"",""system_noise"":false,""url"":""http://localhost:5173/customer/login"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"",""username_length"":0,""viewport"":{""height"":695,""width"":767}}"
log_1757772665545_8pzas65m7,2025-09-13T14:11:05.545Z,frontend,input_change.v1,input_change,session_1757771443548_7eqjj0e9b,log_1757772665545_6well313v,anonymous,/customer/login,"{""app_version"":""web-1.4.2"",""autofill_used"":false,""caps_lock_on"":false,""client_validation_passed"":true,""component"":""unknown"",""details"":{""finalValueLength"":1,""inputId"":""password"",""inputName"":""password"",""inputType"":""password"",""inputValue"":""[HIDDEN]"",""schema_version"":""input_change.v1"",""trigger"":""debounced_input""},""event_time"":""2025-09-13T14:11:05.545Z"",""finalValueLength"":1,""inputId"":""password"",""inputName"":""password"",""inputType"":""password"",""inputValue"":""[HIDDEN]"",""password_length"":0,""perf"":{""submit_latency_ms"":0},""submit_trigger"":""debounced_input"",""system_noise"":false,""url"":""http://localhost:5173/customer/login"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"",""username_length"":0,""viewport"":{""height"":695,""width"":767}}"
log_1757772664778_huirqk76w,2025-09-13T14:11:04.778Z,frontend,click.v1,click,session_1757771443548_7eqjj0e9b,log_1757772664778_e65wvm5yp,anonymous,/customer/login,"{""app_version"":""web-1.4.2"",""autofill_used"":false,""caps_lock_on"":false,""client_validation_passed"":true,""component"":""unknown"",""details"":{""className"":""mt-1 block w-full rounded-md border-gray-300 shadow-sm focus:border-orange-500 focus:ring-orange-500"",""id"":""password"",""schema_version"":""click.v1"",""tagName"":""INPUT"",""text"":"""",""trigger"":""click"",""x"":226,""y"":592},""event_time"":""2025-09-13T14:11:04.778Z"",""password_length"":0,""perf"":{""submit_latency_ms"":0},""submit_trigger"":""click"",""system_noise"":false,""url"":""http://localhost:5173/customer/login"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"",""username_length"":0,""viewport"":{""height"":695,""width"":767}}"
log_1757772664563_3510y6i90,2025-09-13T14:11:04.563Z,frontend,input_change.v1,input_change,session_1757771443548_7eqjj0e9b,log_1757772664563_tkqw7t6fa,anonymous,/customer/login,"{""app_version"":""web-1.4.2"",""autofill_used"":false,""caps_lock_on"":false,""client_validation_passed"":true,""component"":""unknown"",""details"":{""finalValueLength"":5,""inputId"":""postalCode"",""inputName"":""postalCode"",""inputType"":""text"",""inputValue"":""47057"",""schema_version"":""input_change.v1"",""trigger"":""blur""},""event_time"":""2025-09-13T14:11:04.563Z"",""finalValueLength"":5,""inputId"":""postalCode"",""inputName"":""postalCode"",""inputType"":""text"",""inputValue"":""47057"",""password_length"":0,""perf"":{""submit_latency_ms"":0},""submit_trigger"":""blur"",""system_noise"":false,""url"":""http://localhost:5173/customer/login"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"",""username_length"":0,""viewport"":{""height"":695,""width"":767}}"
log_1757772664013_957vfdgb8,2025-09-13T14:11:04.013Z,frontend,input_change.v1,input_change,session_1757771443548_7eqjj0e9b,log_1757772664013_ztttc9lt3,anonymous,/customer/login,"{""app_version"":""web-1.4.2"",""autofill_used"":false,""caps_lock_on"":false,""client_validation_passed"":true,""component"":""unknown"",""details"":{""finalValueLength"":5,""inputId"":""postalCode"",""inputName"":""postalCode"",""inputType"":""text"",""inputValue"":""47057"",""schema_version"":""input_change.v1"",""trigger"":""debounced_input""},""event_time"":""2025-09-13T14:11:04.013Z"",""finalValueLength"":5,""inputId"":""postalCode"",""inputName"":""postalCode"",""inputType"":""text"",""inputValue"":""47057"",""password_length"":0,""perf"":{""submit_latency_ms"":0},""submit_trigger"":""debounced_input"",""system_noise"":false,""url"":""http://localhost:5173/customer/login"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"",""username_length"":0,""viewport"":{""height"":695,""width"":767}}"
log_1757772661830_t462w37rt,2025-09-13T14:11:01.830Z,frontend,click.v1,click,session_1757771443548_7eqjj0e9b,log_1757772661830_ft5s43ax9,anonymous,/customer/login,"{""app_version"":""web-1.4.2"",""autofill_used"":false,""caps_lock_on"":false,""client_validation_passed"":true,""component"":""unknown"",""details"":{""className"":""mt-1 block w-full rounded-md border-gray-300 shadow-sm focus:border-orange-500 focus:ring-orange-500"",""id"":""postalCode"",""schema_version"":""click.v1"",""tagName"":""INPUT"",""text"":"""",""trigger"":""click"",""x"":228,""y"":515},""event_time"":""2025-09-13T14:11:01.830Z"",""password_length"":0,""perf"":{""submit_latency_ms"":0},""submit_trigger"":""click"",""system_noise"":false,""url"":""http://localhost:5173/customer/login"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"",""username_length"":0,""viewport"":{""height"":695,""width"":767}}"
log_1757772661606_g8d4cigyf,2025-09-13T14:11:01.606Z,frontend,input_change.v1,input_change,session_1757771443548_7eqjj0e9b,log_1757772661606_gxhc2w4vn,anonymous,/customer/login,"{""app_version"":""web-1.4.2"",""autofill_used"":false,""caps_lock_on"":false,""client_validation_passed"":true,""component"":""unknown"",""details"":{""finalValueLength"":11,""inputId"":""street"",""inputName"":""street"",""inputType"":""text"",""inputValue"":""schemkesweg"",""schema_version"":""input_change.v1"",""trigger"":""blur""},""event_time"":""2025-09-13T14:11:01.606Z"",""finalValueLength"":11,""inputId"":""street"",""inputName"":""street"",""inputType"":""text"",""inputValue"":""schemkesweg"",""password_length"":0,""perf"":{""submit_latency_ms"":0},""submit_trigger"":""blur"",""system_noise"":false,""url"":""http://localhost:5173/customer/login"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"",""username_length"":0,""viewport"":{""height"":695,""width"":767}}"
