id,timestamp,log_type,schema_version,event_name,session_id,attempt_id,browser_id,route,details
log_1757763987536_coomm99n7,2025-09-13T11:46:27.536Z,frontend,click.v1,click,session_1757763080934_tj3hw6dyl,log_1757763987536_isp9t06ox,anonymous,/,"{""app_version"":""web-1.4.2"",""autofill_used"":false,""caps_lock_on"":false,""client_validation_passed"":true,""component"":""unknown"",""details"":{""className"":""text-2xl font-bold text-gray-900"",""id"":"""",""schema_version"":""click.v1"",""tagName"":""SPAN"",""text"":""Lieferspatz"",""trigger"":""click"",""x"":202,""y"":20},""event_time"":""2025-09-13T11:46:27.536Z"",""password_length"":0,""perf"":{""submit_latency_ms"":0},""submit_trigger"":""click"",""system_noise"":false,""url"":""http://localhost:5173/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"",""username_length"":0,""viewport"":{""height"":695,""width"":767}}"
log_1757763987386_zx3idlukk,2025-09-13T11:46:27.386Z,frontend,input_change.v1,input_change,session_1757763080934_tj3hw6dyl,log_1757763987386_ek3c3efuj,anonymous,/customer/login,"{""app_version"":""web-1.4.2"",""autofill_used"":false,""caps_lock_on"":false,""client_validation_passed"":true,""component"":""unknown"",""details"":{""finalValueLength"":0,""inputId"":""street"",""inputName"":""street"",""inputType"":""text"",""inputValue"":"""",""schema_version"":""input_change.v1"",""trigger"":""blur""},""event_time"":""2025-09-13T11:46:27.386Z"",""finalValueLength"":0,""inputId"":""street"",""inputName"":""street"",""inputType"":""text"",""inputValue"":"""",""password_length"":0,""perf"":{""submit_latency_ms"":0},""submit_trigger"":""blur"",""system_noise"":false,""url"":""http://localhost:5173/customer/login"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"",""username_length"":0,""viewport"":{""height"":695,""width"":767}}"
log_1757763982321_fbiu0cs6y,2025-09-13T11:46:22.321Z,frontend,scroll.v1,scroll,session_1757763080934_tj3hw6dyl,log_1757763982321_jem6g6xhk,anonymous,/customer/login,"{""app_version"":""web-1.4.2"",""autofill_used"":false,""caps_lock_on"":false,""client_validation_passed"":true,""component"":""unknown"",""details"":{""clientHeight"":695,""schema_version"":""scroll.v1"",""scrollHeight"":778,""scrollX"":0,""scrollY"":0,""trigger"":""scroll""},""event_time"":""2025-09-13T11:46:22.321Z"",""password_length"":0,""perf"":{""submit_latency_ms"":0},""submit_trigger"":""scroll"",""system_noise"":false,""url"":""http://localhost:5173/customer/login"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"",""username_length"":0,""viewport"":{""height"":695,""width"":767}}"
log_1757763975813_xt3zjwlle,2025-09-13T11:46:15.813Z,frontend,click.v1,click,session_1757763080934_tj3hw6dyl,log_1757763975813_pic06z5lv,anonymous,/customer/login,"{""app_version"":""web-1.4.2"",""autofill_used"":false,""caps_lock_on"":false,""client_validation_passed"":true,""component"":""unknown"",""details"":{""className"":""w-full flex justify-center py-2 px-4 border border-transparent rounded-md shadow-sm text-sm font-medium text-white bg-orange-500 hover:bg-orange-600 focus:outline-none focus:ring-2 focus:ring-offset-2 focus:ring-orange-500"",""id"":"""",""schema_version"":""click.v1"",""tagName"":""BUTTON"",""text"":""Create Account"",""trigger"":""click"",""x"":275,""y"":554},""event_time"":""2025-09-13T11:46:15.813Z"",""password_length"":0,""perf"":{""submit_latency_ms"":0},""submit_trigger"":""click"",""system_noise"":false,""url"":""http://localhost:5173/customer/login"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"",""username_length"":0,""viewport"":{""height"":695,""width"":767}}"
log_1757763975707_ticf3wszc,2025-09-13T11:46:15.707Z,frontend,input_change.v1,input_change,session_1757763080934_tj3hw6dyl,log_1757763975707_gufajm7iq,anonymous,/customer/login,"{""app_version"":""web-1.4.2"",""autofill_used"":false,""caps_lock_on"":false,""client_validation_passed"":true,""component"":""unknown"",""details"":{""finalValueLength"":1,""inputId"":""password"",""inputName"":""password"",""inputType"":""password"",""inputValue"":""[HIDDEN]"",""schema_version"":""input_change.v1"",""trigger"":""blur""},""event_time"":""2025-09-13T11:46:15.707Z"",""finalValueLength"":1,""inputId"":""password"",""inputName"":""password"",""inputType"":""password"",""inputValue"":""[HIDDEN]"",""password_length"":0,""perf"":{""submit_latency_ms"":0},""submit_trigger"":""blur"",""system_noise"":false,""url"":""http://localhost:5173/customer/login"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"",""username_length"":0,""viewport"":{""height"":695,""width"":767}}"
log_1757763975301_v0c3bx6e0,2025-09-13T11:46:15.301Z,frontend,input_change.v1,input_change,session_1757763080934_tj3hw6dyl,log_1757763975301_76vudrna5,anonymous,/customer/login,"{""app_version"":""web-1.4.2"",""autofill_used"":false,""caps_lock_on"":false,""client_validation_passed"":true,""component"":""unknown"",""details"":{""finalValueLength"":1,""inputId"":""password"",""inputName"":""password"",""inputType"":""password"",""inputValue"":""[HIDDEN]"",""schema_version"":""input_change.v1"",""trigger"":""debounced_input""},""event_time"":""2025-09-13T11:46:15.301Z"",""finalValueLength"":1,""inputId"":""password"",""inputName"":""password"",""inputType"":""password"",""inputValue"":""[HIDDEN]"",""password_length"":0,""perf"":{""submit_latency_ms"":0},""submit_trigger"":""debounced_input"",""system_noise"":false,""url"":""http://localhost:5173/customer/login"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"",""username_length"":0,""viewport"":{""height"":695,""width"":767}}"
log_1757763974641_51sj1z7zf,2025-09-13T11:46:14.641Z,frontend,click.v1,click,session_1757763080934_tj3hw6dyl,log_1757763974641_8uq003zex,anonymous,/customer/login,"{""app_version"":""web-1.4.2"",""autofill_used"":false,""caps_lock_on"":false,""client_validation_passed"":true,""component"":""unknown"",""details"":{""className"":""mt-1 block w-full rounded-md border-gray-300 shadow-sm focus:border-orange-500 focus:ring-orange-500"",""id"":""password"",""schema_version"":""click.v1"",""tagName"":""INPUT"",""text"":"""",""trigger"":""click"",""x"":250,""y"":509},""event_time"":""2025-09-13T11:46:14.641Z"",""password_length"":0,""perf"":{""submit_latency_ms"":0},""submit_trigger"":""click"",""system_noise"":false,""url"":""http://localhost:5173/customer/login"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"",""username_length"":0,""viewport"":{""height"":695,""width"":767}}"
log_1757763974557_7lztuikcs,2025-09-13T11:46:14.557Z,frontend,input_change.v1,input_change,session_1757763080934_tj3hw6dyl,log_1757763974557_jn1xpqw6k,anonymous,/customer/login,"{""app_version"":""web-1.4.2"",""autofill_used"":false,""caps_lock_on"":false,""client_validation_passed"":true,""component"":""unknown"",""details"":{""finalValueLength"":2,""inputId"":""postalCode"",""inputName"":""postalCode"",""inputType"":""text"",""inputValue"":""dd"",""schema_version"":""input_change.v1"",""trigger"":""blur""},""event_time"":""2025-09-13T11:46:14.557Z"",""finalValueLength"":2,""inputId"":""postalCode"",""inputName"":""postalCode"",""inputType"":""text"",""inputValue"":""dd"",""password_length"":0,""perf"":{""submit_latency_ms"":0},""submit_trigger"":""blur"",""system_noise"":false,""url"":""http://localhost:5173/customer/login"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"",""username_length"":0,""viewport"":{""height"":695,""width"":767}}"
log_1757763974506_rvilead8t,2025-09-13T11:46:14.506Z,frontend,input_change.v1,input_change,session_1757763080934_tj3hw6dyl,log_1757763974506_9njbq5ab8,anonymous,/customer/login,"{""app_version"":""web-1.4.2"",""autofill_used"":false,""caps_lock_on"":false,""client_validation_passed"":true,""component"":""unknown"",""details"":{""finalValueLength"":2,""inputId"":""postalCode"",""inputName"":""postalCode"",""inputType"":""text"",""inputValue"":""dd"",""schema_version"":""input_change.v1"",""trigger"":""debounced_input""},""event_time"":""2025-09-13T11:46:14.506Z"",""finalValueLength"":2,""inputId"":""postalCode"",""inputName"":""postalCode"",""inputType"":""text"",""inputValue"":""dd"",""password_length"":0,""perf"":{""submit_latency_ms"":0},""submit_trigger"":""debounced_input"",""system_noise"":false,""url"":""http://localhost:5173/customer/login"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"",""username_length"":0,""viewport"":{""height"":695,""width"":767}}"
log_1757763973803_hcmny2436,2025-09-13T11:46:13.803Z,frontend,click.v1,click,session_1757763080934_tj3hw6dyl,log_1757763973803_3kld2o4dz,anonymous,/customer/login,"{""app_version"":""web-1.4.2"",""autofill_used"":false,""caps_lock_on"":false,""client_validation_passed"":true,""component"":""unknown"",""details"":{""className"":""mt-1 block w-full rounded-md border-gray-300 shadow-sm focus:border-orange-500 focus:ring-orange-500"",""id"":""postalCode"",""schema_version"":""click.v1"",""tagName"":""INPUT"",""text"":"""",""trigger"":""click"",""x"":299,""y"":445},""event_time"":""2025-09-13T11:46:13.803Z"",""password_length"":0,""perf"":{""submit_latency_ms"":0},""submit_trigger"":""click"",""system_noise"":false,""url"":""http://localhost:5173/customer/login"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36"",""username_length"":0,""viewport"":{""height"":695,""width"":767}}"
